id,question_bn,question_en,question_banglish,tier1_class,topic,strictness_label,short_explanation_bn,short_explanation_en,reference_text,reference_source,source_type,verification_status,search_keywords
198,"হজরত বিলাল রা.-এর ফজিলত","Virtue of Bilal (RA)","hojurat bilal rar fojilot",Recommended,Faith_and_Aqidah,"High virtue","বিলাল রা. ইসলামের প্রথম মুয়াজ্জিন এবং জান্নাতে তাঁর পদচিহ্নের সাক্ষ্য রয়েছে।","Bilal (RA) was the first mu’adhdhin of Islam.","SEE_REFERENCE_SOURCE","Authentic hadiths","Sahih_Bukhari",NEEDS_VERIFICATION,"bilal"
199,"হজরত ইসহাক আ.-এর মর্যাদা","Status of Prophet Ishaq (AS)","hojurat ishaq a er morjada",Recommended,Faith_and_Aqidah,"Prophet","হজরত ইসহাক আ. হজরত ইবরাহীম আ.-এর পুত্র এবং একজন নবী।","Prophet Ishaq (AS) is the son of Ibrahim (AS) and a Prophet.","SEE_REFERENCE_SOURCE","Quranic verses","Quran",verified,"ishaq,isaac"
200,"হজরত ইসমাইল আ.-এর মর্যাদা","Status of Prophet Ismail (AS)","hojurat ismail a er morjada",Recommended,Faith_and_Aqidah,"Prophet","হজরত ইসমাইল আ. হজরত ইবরাহীম আ.-এর পুত্র এবং একজন নবী।","Prophet Ismail (AS) is the son of Ibrahim (AS) and a Prophet.","SEE_REFERENCE_SOURCE","Quranic verses","Quran",verified,"ismail,ishmael"
201,"কবরের আজাবকে বিশ্বাস করা কি ফরজ?","Is belief in the punishment of the grave obligatory?","koborer azabke bishwash kora ki foroj",Obligatory,Faith_and_Aqidah,"Fard","কবরের আজাব ও নেয়ামতকে বিশ্বাস করা ফরজ।","Belief in the punishment and blessing of the grave is obligatory.","SEE_REFERENCE_SOURCE","Authentic hadiths on punishment of the grave","Sahih_Bukhari",verified,"grave punishment,barzakh"
202,"হাশরের মাঠে বিশ্বাস করা কি ফরজ?","Is belief in the Gathering (Hashr) obligatory?","hashrer mathe bishwash kora ki foroj",Obligatory,Faith_and_Aqidah,"Fard","হাশরের মাঠে একত্রিত হওয়াকে বিশ্বাস করা ফরজ।","Belief in the Gathering on the Day of Judgment is obligatory.","SEE_REFERENCE_SOURCE","Quranic verses on Hashr","Quran",verified,"hashr,gathering"
203,"মীযানকে বিশ্বাস করা কি ফরজ?","Is belief in the Scale (Mizan) obligatory?","mizanke bishwash kora ki foroj",Obligatory,Faith_and_Aqidah,"Fard","মীযানে আমল ওজন হওয়াকে বিশ্বাস করা ফরজ।","Belief in the Scale that will weigh deeds is obligatory.","SEE_REFERENCE_SOURCE","Quran and Hadith on Mizan","Quran",verified,"mizan,scale"
204,"পুলসিরাতকে বিশ্বাস করা কি ফরজ?","Is belief in the Bridge (Sirat) obligatory?","pulsiratke bishwash kora ki foroj",Obligatory,Faith_and_Aqidah,"Fard","পুলসিরাতের উপর দিয়ে অতিক্রমকে বিশ্বাস করা ফরজ।","Belief in the Bridge (Sirat) over Hell is obligatory.","SEE_REFERENCE_SOURCE","Authentic hadiths on Sirat","Sahih_Bukhari",verified,"sirat,bridge"
205,"জান্নাতের আটটি দরজা বিশ্বাস করা কি মুস্তাহাব?","Is believing in the eight gates of Paradise recommended?","jannater at ti dorja bishwash kora ki mustahab",Recommended,Faith_and_Aqidah,"Mustahabb","জান্নাতের আটটি দরজা রয়েছে বলে বিশ্বাস করা মুস্তাহাব।","Believing in the eight gates of Paradise is recommended.","SEE_REFERENCE_SOURCE","Authentic hadiths","Sahih_Bukhari",NEEDS_VERIFICATION,"gates of jannah"
206,"জাহান্নামের সাতটি দরজা বিশ্বাস করা কি মুস্তাহাব?","Is believing in the seven gates of Hell recommended?","jahannamer sat ti dorja bishwash kora ki mustahab",Recommended,Faith_and_Aqidah,"Mustahabb","জাহান্নামের সাতটি দরজা রয়েছে বলে বিশ্বাস করা মুস্তাহাব।","Believing in the seven gates of Hell is recommended.","SEE_REFERENCE_SOURCE","Quran 15:44","Quran",verified,"gates of jahannam"
207,"আল্লাহর ভয় করা কি ওয়াজিব?","Is having fear of Allah obligatory?","allahor bhoy kora ki wajib",Obligatory,Faith_and_Aqidah,"Wajib","আল্লাহর ভয় (খোদাভীতি) করা ওয়াজিব।","Having fear of Allah (taqwa and khawf) is obligatory.","SEE_REFERENCE_SOURCE","Numerous Quranic verses on taqwa","Quran",verified,"fear of allah,taqwa"
208,"আল্লাহর ভালোবাসা রাখা কি ওয়াজিব?","Is loving Allah obligatory?","allahor bhalobasha rakha ki wajib",Obligatory,Faith_and_Aqidah,"Wajib","আল্লাহকে সবকিছুর চেয়ে বেশি ভালোবাসা ওয়াজিব।","Loving Allah more than anything else is obligatory.","SEE_REFERENCE_SOURCE","Quran and Hadith on love of Allah","Quran",verified,"love of allah"
209,"হালাল খাবার খেয়ে শুকরিয়া আদায় করা কি মুস্তাহাব?","Is giving thanks after eating halal food recommended?","halal khabar kheye shukriya aday kora ki mustahab",Recommended,Food_and_Drink,"Mustahabb","হালাল খাবার খেয়ে আল্লাহর শুকরিয়া আদায় করা মুস্তাহাব।","Giving thanks to Allah after eating is recommended.","SEE_REFERENCE_SOURCE","Hadith on gratitude after eating","Sahih_Bukhari",NEEDS_VERIFICATION,"shukr,thanks after food"
210,"দৈনিক কাজের মধ্যে আল্লাহকে স্মরণ করা কি মুস্তাহাব?","Is remembering Allah during daily work recommended?","doinik kajer modhye allahke smoron kora ki mustahab",Recommended,Social_Conduct,"Mustahabb","কাজের মধ্যেও আল্লাহকে স্মরণ করা মুস্তাহাব।","Remembering Allah even while doing daily work is recommended.","SEE_REFERENCE_SOURCE","Quranic encouragement for dhikr","Quran",verified,"dhikr during work"
211,"সকালের মাসনূন দোয়া পড়া কি মুস্তাহাব?","Is reciting the morning Masnun duas recommended?","sokaler masnun doya pora ki mustahab",Recommended,Worship,"Mustahabb","সকালের মাসনূন দোয়া ও জিকির পড়া মুস্তাহাব।","Reciting the authentic morning duas is recommended.","SEE_REFERENCE_SOURCE","Hisnul Muslim","Sahih_Muslim",NEEDS_VERIFICATION,"morning dua"
212,"সন্ধ্যার মাসনূন দোয়া পড়া কি মুস্তাহাব?","Is reciting the evening Masnun duas recommended?","sondhar masnun doya pora ki mustahab",Recommended,Worship,"Mustahabb","সন্ধ্যার মাসনূন দোয়া ও জিকির পড়া মুস্তাহাব।","Reciting the authentic evening duas is recommended.","SEE_REFERENCE_SOURCE","Hisnul Muslim","Sahih_Muslim",NEEDS_VERIFICATION,"evening dua"
213,"মসজিদে প্রবেশের দোয়া পড়া কি সুন্নত?","Is reciting the dua when entering the mosque a sunnah?","mosjide probesher doya pora ki sunnat",Recommended,Worship,"Sunnah","মসজিদে প্রবেশের সময় দোয়া পড়া সুন্নত।","Reciting the dua when entering the mosque is a sunnah.","SEE_REFERENCE_SOURCE","Hadith on entering the mosque","Sahih_Bukhari",NEEDS_VERIFICATION,"dua entering mosque"
214,"মসজিদ থেকে বের হওয়ার দোয়া পড়া কি সুন্নত?","Is reciting the dua when leaving the mosque a sunnah?","mosjid theke ber howar doya pora ki sunnat",Recommended,Worship,"Sunnah","মসজিদ থেকে বের হওয়ার সময় দোয়া পড়া সুন্নত।","Reciting the dua when leaving the mosque is a sunnah.","SEE_REFERENCE_SOURCE","Hadith on leaving the mosque","Sahih_Bukhari",NEEDS_VERIFICATION,"dua leaving mosque"
215,"হজরত জাফর রা.-এর ফজিলত","Virtue of Ja’far (RA)","hojurat jafar rar fojilot",Recommended,Faith_and_Aqidah,"High virtue","জাফর রা. রাসূলুল্লাহ ﷺ এর চাচাতো ভাই এবং শহীদ।","Ja’far (RA) is the cousin of the Prophet ﷺ and a martyr.","SEE_REFERENCE_SOURCE","Seerah and Hadith","Sahih_Bukhari",NEEDS_VERIFICATION,"jafar"
216,"হজরত সালমান ফারসি রা.-এর ফজিলত","Virtue of Salman al-Farsi (RA)","hojurat salman farsi rar fojilot",Recommended,Faith_and_Aqidah,"High virtue","সালমান ফারসি রা. একজন মহান সাহাবী এবং আহলে বাইতের অন্তর্ভুক্ত বলে সম্মানিত।","Salman al-Farsi (RA) is a great Companion.","SEE_REFERENCE_SOURCE","Authentic hadiths","Sahih_Bukhari",NEEDS_VERIFICATION,"salman farsi"
217,"হজরত আবু জর রা.-এর ফজিলত","Virtue of Abu Dharr (RA)","hojurat abu jar rar fojilot",Recommended,Faith_and_Aqidah,"High virtue","আবু জর রা. একজন মহান সাহাবী এবং সত্যভাষী হিসেবে পরিচিত।","Abu Dharr (RA) is a great Companion known for truthfulness.","SEE_REFERENCE_SOURCE","Authentic hadiths","Sahih_Bukhari",NEEDS_VERIFICATION,"abu dharr"
218,"জান্নাতে প্রবেশের আমল কি মুস্তাহাব?","Are deeds that lead to Paradise recommended?","jannate probesher amol ki mustahab",Recommended,Faith_and_Aqidah,"Mustahabb","জান্নাতে প্রবেশের কারণ হয় এমন আমল করা মুস্তাহাব।","Performing deeds that lead to entering Paradise is recommended.","SEE_REFERENCE_SOURCE","Hadiths listing deeds for Jannah","Sahih_Bukhari",NEEDS_VERIFICATION,"deeds for jannah"
219,"জাহান্নাম থেকে মুক্তির দোয়া করা কি মুস্তাহাব?","Is making dua for protection from Hell recommended?","jahannam theke muktir doya kora ki mustahab",Recommended,Worship,"Mustahabb","জাহান্নাম থেকে মুক্তির জন্য দোয়া করা মুস্তাহাব।","Making dua for protection from Hell is recommended.","SEE_REFERENCE_SOURCE","Hadiths on seeking protection from Jahannam","Sahih_Muslim",NEEDS_VERIFICATION,"dua protection hell"
220,"আল্লাহর রহমত কামনা করা কি মুস্তাহাব?","Is seeking the mercy of Allah recommended?","allahor rahmat kamona kora ki mustahab",Recommended,Worship,"Mustahabb","আল্লাহর রহমত কামনা করা মুস্তাহাব।","Seeking the mercy of Allah is recommended.","SEE_REFERENCE_SOURCE","Quranic and Hadith encouragement","Quran",verified,"rahmah,mercy"
221,"খাবারের সময় কথা কম বলা কি মুস্তাহাব?","Is speaking less while eating recommended?","khabarer somoy kotha kom bola ki mustahab",Recommended,Food_and_Drink,"Mustahabb","খাবারের সময় অপ্রয়োজনীয় কথা কম বলা মুস্তাহাব।","Speaking less while eating is recommended.","SEE_REFERENCE_SOURCE","Etiquette of eating in Hadith","Sunan_Abu_Dawood",NEEDS_VERIFICATION,"etiquette eating"
222,"দৈনিক কাজ শুরু করার আগে বিসমিল্লাহ বলা কি সুন্নত?","Is saying Bismillah before starting daily work a sunnah?","doinik kaj shuru korar age bismillah bola ki sunnat",Recommended,Social_Conduct,"Sunnah","যেকোনো ভালো কাজের শুরুতে বিসমিল্লাহ বলা সুন্নত।","Saying Bismillah before starting any good work is a sunnah.","SEE_REFERENCE_SOURCE","Hadith on beginning with Bismillah","Sahih_Bukhari",NEEDS_VERIFICATION,"bismillah before work"
223,"হজরত আনাস রা.-এর ফজিলত","Virtue of Anas (RA)","hojurat anas rar fojilot",Recommended,Faith_and_Aqidah,"High virtue","আনাস রা. রাসূলুল্লাহ ﷺ এর খাদেম এবং দীর্ঘ সময় সাহচর্যে ছিলেন।","Anas (RA) was the servant of the Prophet ﷺ for many years.","SEE_REFERENCE_SOURCE","Authentic hadiths","Sahih_Bukhari",NEEDS_VERIFICATION,"anas"
224,"হজরত আবদুল্লাহ ইবনে মাসউদ রা.-এর ফজিলত","Virtue of Abdullah ibn Mas’ud (RA)","hojurat abdullah ibne masud rar fojilot",Recommended,Faith_and_Aqidah,"High virtue","আবদুল্লাহ ইবনে মাসউদ রা. একজন বড় আলেম সাহাবী।","Abdullah ibn Mas’ud (RA) was a great scholar among the Companions.","SEE_REFERENCE_SOURCE","Authentic hadiths","Sahih_Bukhari",NEEDS_VERIFICATION,"ibn masud"
225,"আল্লাহর পথে ধৈর্য ধারণ করা কি ওয়াজিব?","Is patience in the path of Allah obligatory?","allahor pothe dhoirjo dharan kora ki wajib",Obligatory,Faith_and_Aqidah,"Wajib","আল্লাহর পথে ধৈর্য ধারণ করা ওয়াজিব।","Patience (sabr) in the path of Allah is obligatory.","SEE_REFERENCE_SOURCE","Numerous Quranic verses on sabr","Quran",verified,"sabr,patience"
